feature,category,scale
contract_compiler_runs,source code,1
contract_num_source_code_lines,source code,1
contract_has_library,source code,0
internal_transaction_count,transaction,1
normal_transaction_block_span,transaction,1
normal_transaction_count,transaction,1
normal_transaction_block_delta_mean,transaction,1
normal_transaction_block_delta_std,transaction,1
normal_transaction_count_per_block_mean,transaction,1
normal_transaction_count_per_block_std,transaction,1
normal_transaction_gas_mean,transaction,1
normal_transaction_gas_std,transaction,1
normal_transaction_gas_used_mean,transaction,1
normal_transaction_gas_used_std,transaction,1
normal_transaction_time_delta_mean,transaction,1
normal_transaction_time_delta_std,transaction,1
normal_transaction_value_mean,transaction,1
normal_transaction_value_std,transaction,1
has_internal_transactions,transaction,0
normal_transaction_before_creation_ratio,transaction,0
normal_transaction_block_ratio,transaction,0
normal_transaction_from_other_ratio,transaction,0
normal_transaction_other_sender_ratio,transaction,0
contract_compiler_minor_version_0,source code,0
contract_compiler_minor_version_1,source code,0
contract_compiler_minor_version_2,source code,0
contract_compiler_minor_version_3,source code,0
contract_compiler_patch_0,source code,0
contract_compiler_patch_1,source code,0
contract_compiler_patch_2,source code,0
contract_compiler_patch_3,source code,0
contract_compiler_patch_4,source code,0
contract_compiler_patch_5,source code,0
contract_compiler_patch_6,source code,0
contract_compiler_patch_7,source code,0
contract_compiler_patch_8,source code,0
contract_compiler_patch_9,source code,0
contract_compiler_patch_10,source code,0
contract_compiler_patch_11,source code,0
contract_compiler_patch_12,source code,0
contract_compiler_patch_13,source code,0
contract_compiler_patch_14,source code,0
contract_compiler_patch_15,source code,0
contract_compiler_patch_16,source code,0
contract_compiler_patch_17,source code,0
contract_compiler_patch_18,source code,0
contract_compiler_patch_19,source code,0
contract_compiler_patch_20,source code,0
contract_compiler_patch_21,source code,0
contract_compiler_patch_22,source code,0
contract_compiler_patch_23,source code,0
contract_compiler_patch_24,source code,0
contract_compiler_patch_25,source code,0
contract_compiler_patch_26,source code,0
contract_compiler_patch_27,source code,0
contract_compiler_patch_28,source code,0
contract_compiler_patch_29,source code,0
contract_compiler_patch_30,source code,0
contract_compiler_patch_31,source code,0
contract_compiler_patch_32,source code,0
contract_compiler_patch_33,source code,0
contract_compiler_patch_34,source code,0
contract_compiler_patch_35,source code,0
contract_compiler_patch_36,source code,0
contract_compiler_patch_37,source code,0
contract_compiler_patch_38,source code,0
contract_compiler_patch_39,source code,0
contract_compiler_patch_40,source code,0
contract_compiler_patch_41,source code,0
contract_compiler_patch_42,source code,0
contract_compiler_patch_43,source code,0
contract_compiler_patch_44,source code,0
contract_compiler_patch_45,source code,0
contract_compiler_patch_46,source code,0
contract_compiler_patch_47,source code,0
contract_compiler_patch_48,source code,0
contract_compiler_patch_49,source code,0
contract_compiler_patch_50,source code,0
contract_compiler_patch_51,source code,0
contract_compiler_patch_52,source code,0
contract_compiler_patch_53,source code,0
contract_compiler_patch_54,source code,0
